"Word","Status","Type","Power","Location_Match"
"Monsell","extinct","Surname",0.5,"No"
"Monson","extinct","Surname",0.5,"No"
"Montagu","extant","Surname",1,"No"
"Montgomerie","extant","Surname",1,"No"
"Montgomery","extant","Surname",0.5,"Yes"
"Moreton","extant","Surname",1,"No"
"Morgan","extinct","Surname",0.5,"No"
"Morris","extinct","Surname",0.5,"No"
"Morrison","extant","Surname",1,"No"
"Mountbatten","extant","Surname",1,"No"
"Munro","extinct","Surname",0.5,"No"
"Murray","extant","Surname",1,"No"
"Nelson","extant","Surname",1,"No"
"Nevill","extant","Surname",1,"No"
"Neville","extant","Surname",1,"No"
"Noel","extant","Surname",1,"No"
"Northcote","extant","Surname",1,"No"
"Nugent","extinct","Surname",0.5,"No"
"Offley","extinct","Surname",0.5,"No"
"Onslow","extant","Surname",1,"No"
"Paget","extant","Surname",1,"No"
"Palmer","extant","Surname",1,"No"
"Parker","extant","Surname",1,"No"
"Peake","extinct","Surname",0.5,"No"
"Pearson","extant","Surname",1,"No"
"Peel","extant","Surname",1,"No"
"Pelham","extant","Surname",1,"No"
"Pellew","extant","Surname",1,"No"
"Penny","extant","Surname",1,"No"
"Pepys","extant","Surname",1,"No"
"Percy","extant","Surname",1,"No"
"Philipps","extant","Surname",1,"No"
"Phipps","extant","Surname",1,"No"
"Pierrepont","extinct","Surname",0.5,"No"
"Pirrie","extinct","Surname",0.5,"No"
"Plumer","extinct","Surname",0.5,"No"
"Pollock","extant","Surname",1,"No"
"Ponsonby","extinct","Surname",0.5,"No"
"Portal","extinct","Surname",0.5,"No"
"Portman","extant","Surname",1,"No"
"Pratt","extant","Surname",1,"No"
"Primrose","extant","Surname",1,"No"
"Pulteney","extinct","Surname",0.5,"No"
"Radcliffe","extinct","Surname",0.5,"No"
"Ramsay","extinct","Surname",0.5,"No"
"Ramsbotham","extant","Surname",1,"No"
"Rawdon","extinct","Surname",0.5,"No"
"Reid","extinct","Surname",0.5,"No"
"Richard","extant","Surname",1,"No"
"Ridley","extant","Surname",1,"No"
"Roberts","extinct","Surname",0.5,"No"
"Robinson","extinct","Surname",0.5,"No"
"Rous","extant","Surname",1,"No"
"Runciman","extant","Surname",1,"No"
"Russell","extant","Surname",1,"No"
"Ruthven","extant","Surname",1,"No"
"Ryder","extant","Surname",1,"No"
"Samuel","extant","Surname",1,"No"
"Sankey","extinct","Surname",0.5,"No"
"Scott","extant","Surname",1,"No"
"Seymour","extant","Surname",1,"No"
"Shaw","extinct","Surname",0.5,"No"
"Sidney","extant","Surname",1,"No"
"Simon","extinct","Surname",0.5,"No"
"Simonds","extinct","Surname",0.5,"No"
"Sinclair","extant","Surname",1,"No"
"Slim","extant","Surname",1,"No"
"Smith","extant","Surname",1,"No"
"Snowden","extinct","Surname",0.5,"No"
"Somers","extinct","Surname",0.5,"No"
"Somerset","extant","Surname",0.5,"Yes"
"Spencer","extant","Surname",1,"No"
"St. Maur","extinct","Surname",0.5,"No"
"St. Clair","extant","Surname",1,"No"
"Stewart","extant","Surname",1,"No"
"Stuart","extant","Surname",1,"No"
"Sutton","extinct","Surname",0.5,"No"
"Talbot","extinct","Surname",0.5,"No"
"Temple","extant","Surname",1,"No"
"Thesiger","extant","Surname",1,"No"
"Thomas","extinct","Surname",0.5,"No"
"Townsend","extinct","Surname",0.5,"No"
"Townshend","extinct","Surname",0.5,"No"
"Trench","extant","Surname",1,"No"
"Trenchard","extant","Surname",1,"No"
"Vane","extant","Surname",1,"No"
"Vereker","extinct","Surname",0.5,"No"
"Wakefield","extinct","Surname",0.5,"No"
"Walpole","extinct","Surname",0.5,"No"
"Ward","extant","Surname",1,"No"
"Watkinson","extinct","Surname",0.5,"No"
"Watson","extinct","Surname",0.5,"No"
"Wavell","extinct","Surname",0.5,"No"
"Webster","extinct","Surname",0.5,"No"
"Wedderburn","extant","Surname",1,"No"
"Weir","extant","Surname",1,"No"
"Wellesley","extant","Surname",1,"No"
"Wettin","extinct","Surname",0.5,"No"
"Whitelaw","extinct","Surname",0.5,"No"
"Whitworth","extinct","Surname",0.5,"No"
"Wilbraham","extinct","Surname",0.5,"No"
"Willoughby","extinct","Surname",0.5,"No"
"Windsor","extant","Surname",1,"No"
"Wodehouse","extant","Surname",1,"No"
"Wolseley","extinct","Surname",0.5,"No"
"Wood","extant","Surname",1,"No"
"Wortley","extant","Surname",1,"No"
"Wynn","extinct","Surname",0.5,"No"
"Younger","extant","Surname",1,"No"
"Adelaide","Marriage","First Name",0.5,"No"
"Albert","Marriage","First Name",0.5,"No"
"Alexandra","Marriage","First Name",0.5,"No"
"Anne","Monarch","First Name",1,"No"
"Caroline","Marriage","First Name",0.5,"No"
"Charles","Monarch","First Name",1,"No"
"Charlotte","Marriage","First Name",0.5,"No"
"Edward","Monarch","First Name",1,"No"
"Elizabeth","Monarch","First Name",1,"No"
"George","Monarch","First Name",1,"No"
"Henry","Monarch","First Name",1,"No"
"James","Monarch","First Name",1,"No"
"Jane","Monarch","First Name",1,"No"
"Mary","Monarch","First Name",1,"No"
"Philip","Marriage","First Name",0.5,"No"
"Richard","Monarch","First Name",1,"No"
"Sophia","Marriage","First Name",0.5,"No"
"Victoria","Monarch","First Name",1,"No"
"William","Monarch","First Name",1,"No"
"Baron","Constant","Noun",1,"No"
"Baroness","Constant","Noun",1,"No"
"Baronet","Constant","Noun",1,"No"
"Consort","Constant","Noun",1,"No"
"Coronation","Constant","Noun",1,"No"
"Countess ","Constant","Noun",1,"No"
"Crown","Constant","Noun",1,"No"
"Duchess","Constant","Noun",1,"No"
"Duchy","Constant","Noun",1,"No"
"Duke","Constant","Noun",1,"No"
"Earl","Constant","Noun",1,"No"
"Earldom","Constant","Noun",1,"No"
"Jubilee","Constant","Noun",1,"No"
"King","Constant","Noun",1,"No"
"Lady","Constant","Noun",1,"No"
"Liege","Constant","Noun",1,"No"
"Lord","Constant","Noun",1,"No"
"Manor","Constant","Noun",1,"No"
"Mansion","Constant","Noun",1,"No"
"March","Constant","Noun",1,"No"
"Marquess","Constant","Noun",1,"No"
"Marquis","Constant","Noun",1,"No"
"Marquise","Constant","Noun",1,"No"
"Palace","Constant","Noun",1,"No"
"Prince","Constant","Noun",1,"No"
"Princess","Constant","Noun",1,"No"
"Queen","Constant","Noun",1,"No"
"Regent","Constant","Noun",1,"No"
"Royal","Constant","Noun",1,"No"
"Scion","Constant","Noun",1,"No"
"Vassal","Constant","Noun",1,"No"
"Viscount","Constant","Noun",1,"No"
"Viscountess","Constant","Noun",1,"No"
